Region,Dec,RA
C25,-14.77354065,296.3194808
C25,-14.76552922,296.3277658
C25,-14.7717021,296.3213761
C25,-14.77971411,296.3130938
HV III,-14.7194548,296.2445069
HV III,-14.72756085,296.2361262
HV III,-14.72151215,296.2423858
HV III,-14.71340594,296.2507635
HV I,-14.81896498,296.2250266
HV I,-14.82701748,296.2166974
HV I,-14.82089772,296.2230334
HV I,-14.81284508,296.2313596
HV II,-14.8144854,296.2341442
HV II,-14.82256659,296.2257856
HV II,-14.81648475,296.2320822
HV II,-14.8084034,296.2404379
H IV,-14.85991469,296.2232777
H IV,-14.86166447,296.2214698
H IV,-14.87162599,296.2111599
H IV,-14.86987385,296.2129698
C1,-14.79798967,296.1334275
C1,-14.80694523,296.1241655
C1,-14.80224415,296.1290334
C1,-14.79328795,296.1382924
C12,-14.75780927,296.2314337
C12,-14.76732024,296.2215993
C12,-14.76387774,296.2251646
C12,-14.75436575,296.234996
C18,-14.77635987,296.2670798
C18,-14.78352389,296.2596709
C18,-14.7763849,296.2670597
C18,-14.76922111,296.2744657
