,Id-main,Ra(J2000) deg,Dec(J2000) deg,J,eJ,H,eH,Ks,eKs,Types,DCG
0,10870.0,296.17892,-14.82286,17.52,0.04,16.53,0.04,16.19,0.05,S,0.05530083634088521
1,10784.0,296.21545,-14.83469,17.45,0.03,16.53,0.04,16.2,0.06,S,0.03608355442582214
2,11004.0,296.27341,-14.80861,17.6,0.03,16.62,0.03,16.27,0.05,S,0.04396125225695369
3,11029.0,296.28308,-14.80497,17.46,0.03,16.55,0.02,16.22,0.05,S,0.053182482078184164
4,12050.0,296.25427,-14.81764,18.17,0.07,17.25,0.1,16.7,0.05,S,0.029052948215286208
5,10326.0,296.25522,-14.82579,16.82,0.03,15.86,0.03,15.52,0.02,S,0.034897317948511516
6,10310.0,296.19168,-14.82965,18.32,0.31,16.8,0.19,15.67,0.1,LAV,0.047447895632999115
7,10371.0,296.28415,-14.81194,17.33,0.16,15.94,0.12,15.04,0.07,LAV,0.055115291888905266
8,10501.0,296.23456,-14.7733,18.0,0.37,16.56,0.32,15.48,0.27,LAV,0.02873413475293208
9,10968.0,296.20154,-14.81282,19.18,0.6,17.3,0.3,15.91,0.2,LAV,0.030566224824138125
10,11401.0,296.27222,-14.76143,18.09,0.24,16.73,0.17,15.62,0.07,LAV,0.05832483176142685
11,11403.0,296.22778,-14.76111,18.35,0.34,17.01,0.15,16.18,0.09,LAV,0.04062070900415255
12,11991.0,296.27774,-14.82287,18.46,0.18,17.17,0.22,16.13,0.2,LAV,0.052235501337670104
13,12070.0,296.24905,-14.81619,17.49,0.09,16.92,0.21,15.98,0.27,LAV,0.02395272218349635
14,12660.0,296.25348,-14.76936,18.38,0.35,16.83,0.3,15.54,0.27,LAV,0.039940537051975554
15,12711.0,296.24728,-14.76419,18.94,1.05,17.79,0.92,16.8,0.63,LAV,0.04127164644158301
16,13390.0,296.24246,-14.82114,19.99,0.74,18.4,0.44,16.77,0.21,LAV,0.023115633238122723
17,40275.0,296.22681,-14.75065,17.13,0.34,15.92,0.29,15.11,0.28,LAV,0.051119629302255824
18,40327.0,296.23346,-14.74996,17.71,0.18,16.93,0.23,16.52,0.18,LAV,0.05182562783025136
19,12557.0,296.18398,-14.78018,18.23,,17.51,,17.12,,O,0.050790358336990235
20,11226.0,296.25229,-14.78475,17.49,,16.54,,16.08,,O,0.027984468906875493
21,10184.0,296.22364,-14.77473,16.44,,15.58,,15.13,,O,0.027680556352796776
22,40363.0,296.23649,-14.85697,19.18,,17.73,,16.32,,C,0.05567953035002986
23,10198.0,296.25088,-14.76786,15.5,,14.68,,14.19,,O,0.0397377717039968
24,10091.0,296.26702,-14.76311,15.46,,14.67,,14.18,,O,0.053454223406563944
25,10817.0,296.23639,-14.83054,17.7,,16.76,,16.04,,LPV,0.029568716576804228
26,12751.0,296.21027,-14.75973,17.89,,16.91,,16.29,,LPV,0.046349072266891535
27,11032.0,296.18048,-14.80431,18.2,,16.91,,15.94,,LPV,0.049590321636413325
28,12208.0,296.23352,-14.80653,17.87,,16.61,,15.62,,LPV,0.0060008332754601275
29,13364.0,296.19489,-14.82267,18.1,,16.85,,15.86,,LPV,0.04091102663099822
30,12466.0,296.17462,-14.78854,18.42,,17.09,,16.03,,LPV,0.056915211499225155
31,11059.0,296.21259,-14.80142,18.38,,16.9,,15.79,,LPV,0.017411794852955846
32,11296.0,296.21729,-14.77647,18.37,,16.99,,15.78,,LPV,0.028223821498880645
33,13106.0,296.24048,-14.84939,19.1,,17.38,,15.96,,LPV,0.0488572287384316
34,11305.0,296.17957,-14.77527,18.02,,16.56,,15.45,,LPV,0.05692227068556313
35,11140.0,296.22876,-14.79337,18.75,,17.25,,15.93,,LPV,0.008392115347157269
36,10753.0,296.24295,-14.83836,18.4,,17.06,,15.88,,LPV,0.03890833586777687
37,11174.0,296.21774,-14.78943,19.12,,17.42,,15.9,,LPV,0.017324121911388383
38,12445.0,296.21661,-14.79057,20.26,,18.34,,16.43,,LPV,0.01739258750158781
39,11299.0,296.25732,-14.77645,19.06,,17.3,,15.73,,LPV,0.03718105431531728
40,13293.0,296.25696,-14.83051,20.3,,18.37,,16.42,,LPV,0.03947894628784615
41,12177.0,296.28424,-14.80892,20.5,,18.1,,16.1,,LPV,0.054722391212366155
42,10807.0,296.21631,-14.83196,20.37,,18,,15.89,,LPV,0.03324003910948307
43,12400.0,296.17468,-14.79389,18.0,,16.75,,15.88,,C,0.05586439653302826
44,,296.18609,-14.7787,16.72,,15.9,,15.54,,C,0.049555110735457125
45,,296.24578,-14.7865,17.58,,16.73,,16.46,,C,0.021889205102063228
46,,296.23651,-14.79789,17.25,,16.52,,16.22,,C,0.007527848298144885
47,,296.283356,-14.789384,17.47,,16.75,,16.45,,C,0.05475224682148522
48,,296.244446,-14.75467,17.25,,16.49,,16.22,,C,0.049169979825080756
49,,296.234558,-14.767653,16.96,,16.04,,15.62,,C,0.034321008915819996
50,,296.278412,-14.780069,17.65,,16.54,,15.76,,C,0.05301249800753165
51,,296.229034,-14.781347,17.61,,16.51,,15.94,,C,0.020345945173424286
52,,296.213776,-14.783867,17.89,,17.08,,16.72,,C,0.02408661422866836
53,,296.257843,-14.793209,17.91,,17.14,,16.88,,C,0.029100191923729177
54,,296.208191,-14.797331,17.67,,16.91,,16.45,,C,0.02223644310587511
55,,296.184326,-14.799191,17.83,,17.03,,16.78,,C,0.04574122557389319
56,,296.274109,-14.800164,17.57,,16.75,,16.4,,C,0.04413470195888116
57,,296.251343,-14.803117,17.41,,16.5,,16.15,,C,0.021391995185117096
58,,296.191315,-14.818703,16.95,,16.05,,15.64,,C   ,0.042268810179650916
59,,296.212616,-14.82485,17.39,,16.56,,16.25,,C   ,0.028974400011039857
60,,296.182983,-14.828946,17.6,,16.81,,16.58,,C   ,0.054356034301664545
61,,296.233093,-14.830748,17.39,,16.6,,16.31,,C   ,0.02924203708704091
62,,296.241516,-14.846167,18.41,,17.3,,16.36,,C   ,0.0459630423818891
63,,296.197662,-14.763362,17.175,,16.255,,15.536,,C  ,0.050132316004772796
64,,296.208893,-14.769947,17.025,,16.201,,15.758,,C  ,0.03810320430096655
65,,296.199615,-14.7809,18.414,,17.421,,17.201,,C  ,0.036805449664436954
66,,296.180084,-14.825297,17.231,,16.366,,15.897,,C  ,0.055225376277574276
67,,296.212219,-14.830112,17.27,,16.343,,16.036,,C  ,0.033542679156568396
68,,296.194489,-14.842676,17.014,,16.111,,15.568,,C  ,0.05424502886904108
69,,296.202057,-14.847754,17.178,,16.174,,15.577,,C  ,0.05389384292291349
70,,296.203827,-14.755259,17.967,,17.164,,16.598,,C  ,0.053282331499301
71,,296.202637,-14.773767,17.296,,16.414,,15.714,,C  ,0.03908082877834117
72,,296.194275,-14.821965,17.296,,16.408,,15.902,,C  ,0.04108725654020967
73,,296.252136,-14.757003,17.914,,16.978,,16.427,,C  ,0.0498512124727128
74,,296.248871,-14.764977,17.11,,15.994,,15.228,,C  ,0.041261251677567896
75,,296.261536,-14.769683,17.345,,16.483,,16.072,,C  ,0.044918676126945487
76,,296.251434,-14.798083,17.625,,16.616,,16.058,,C  ,0.02173207134628373
77,,296.256256,-14.807403,17.424,,16.327,,15.554,,C  ,0.026874613020459587
78,,296.244385,-14.810474,16.872,,15.96,,15.476,,C  ,0.016865308802394244
79,,296.244141,-14.813117,17.32,,16.187,,15.349,,C  ,0.0181934518439979
80,,296.259552,-14.815343,17.428,,16.335,,15.717,,C  ,0.032561812495591605
81,,296.259796,-14.82215,17.409,,16.47,,16.006,,C  ,0.03615566367802725
82,,296.264984,-14.824442,18.374,,17.308,,17.061,,C  ,0.041742595031940576
83,,296.257324,-14.837327,18.011,,17.107,,16.687,,C  ,0.044922406714223366
84,,296.257874,-14.842669,17.395,,16.265,,15.595,,C  ,0.049576989390239586
85,,296.244781,-14.845008,17.719,,16.678,,16.005,,C  ,0.045789302298671966
86,,296.262543,-14.847853,17.049,,16.052,,15.442,,C  ,0.056497047161763236
87,,296.219086,-14.802538,17.309,,16.477,,15.994,,C  ,0.010948461992458275
88,,296.22171,-14.839417,17.929,,17,,16.501,,C  ,0.03864660540074264
89,,296.204712,-14.849141,17.306,,16.262,,15.565,,C  ,0.05378641822060943
90,10032.0,296.22696,-14.80191,14.48,,13.66,,13.34,,s,0.0030494589684059346
91,10074.0,296.24005,-14.80796,14.74,,13.94,,13.66,,s,0.0118560786097075
92,40397.0,296.24301,-14.74652,14.1,,13.3,,12.99,,s,0.05666376796507755
