Z,I,a,b,c,D
0.0001,1,2.8950,1.7870,0.0870,-3.7270
0.0001,2,0.7730,0.5690,0.2250,0.0000
0.0001,3,-0.6260,1.2260,0.1930,0.0000
0.0001,4,-0.7380,0.0800,0.1030,0.0000
0.00015,1,8.078,1.800,0.250,-9.812
0.00015,2,6.245,0.304,0.525,0.0000
0.00015,3,2.626,0.679,0.217,0.0000
0.00015,4,5.737,1.301,0.329,0.0000
0.0002,1,8.0780,1.8000,0.2500,-9.8120
0.0002,2,6.2450,0.3040,0.5250,0.0000
0.0002,3,2.6260,0.6790,0.2170,0.0000
0.0002,4,5.7370,1.3010,0.3290,0.0000
0.0002,1,2.8400,1.4230,0.2500,-9.3800
0.0002,2,0.4360,0.2260,0.0940,0.0000
0.0002,3,6.1730,1.7160,0.1480,0.0000
0.0002,4,6.4400,0.5940,0.8760,0.0000
0.0003,1,3.8480,0.6200,0.8760,-6.9260
0.0003,2,0.5130,0.2480,0.0700,0.0000
0.0003,3,4.8330,1.8210,0.4320,0.0000
0.0003,4,342.1890,-1.7790,0.0090,0.0000
0.0005,1,1.8100,0.5860,0.2110,-5.0540
0.0005,2,1.8820,0.2480,0.1590,0.0000
0.0005,3,3.5260,1.6660,0.2710,0.0000
0.0005,4,1.4960,1.1690,0.1970,0.0000
0.0008,1,1.2550,0.5870,0.1690,-4.4890
0.0008,2,0.6360,1.1380,0.0880,0.0000
0.0008,3,3.4100,1.7140,0.3890,0.0000
0.0008,4,1.4830,0.2660,0.1550,0.0000
0.0010,1,1.3360,0.5890,0.1660,-4.5700
0.0010,2,0.9490,1.1480,0.0990,0.0000
0.0010,3,3.4810,1.5130,0.2520,0.0000
0.0010,4,1.6100,0.2650,0.1600,0.0000
0.0015,1,4.4290,1.4410,0.5170,-6.4220
0.0015,2,3.5180,0.2810,0.3140,0.0000
0.0015,3,1.7920,0.6400,0.1450,0.0000
0.0015,4,6.7630,4.2540,0.0020,0.0000
0.0020,1,16.3470,2.2880,0.3440,-6.1540
0.0020,2,7.8700,0.8720,0.7170,0.0000
0.0020,3,-5.7990,0.8640,0.3820,0.0000
0.0020,4,-0.9860,0.4650,0.1170,0.0000
0.0030,1,1.5310,1.8260,0.1510,-5.3230
0.0030,2,3.4210,1.3370,0.4050,0.0000
0.0030,3,2.5660,0.3060,0.2900,0.0000
0.0030,4,1.2880,0.6470,0.1270,0.0000
0.0060,1,3.1490,0.3360,0.3660,-5.8090
0.0060,2,4.2380,1.2900,0.4440,0.0000
0.0060,3,0.6760,0.6620,0.0950,0.0000
0.0060,4,2.1490,1.7570,0.1160,0.0000
0.0080,1,7.3860,0.3750,0.6760,-10.0000
0.0080,2,0.6370,0.6950,0.0880,0.0000
0.0080,3,7.3800,1.5380,0.2890,0.0000
0.0080,4,5.0730,1.1330,0.2610,0.0000
0.0100,1,3.0560,1.0620,0.2090,-8.2250
0.0100,2,0.6970,0.7110,0.0950,0.0000
0.0100,3,6.2750,1.4440,0.3330,0.0000
0.0100,4,5.5930,0.3850,0.5980,0.0000
0.0120,1,4.4950,1.3460,0.4360,-6.0600
0.0120,2,3.3930,0.3720,0.4200,0.0000
0.0120,3,1.0270,1.0770,0.1220,0.0000
0.0120,4,0.6550,0.7080,0.1060,0.0000
0.020,1,4.273,1.216,0.584,-5.542 
0.020,2,2.255,0.304,0.354,0.0000
0.020,3,-1.954,0.881,0.091,0.0000
0.020,4,0.225,0.450,0.044,0.0000
0.030,1,5.349,1.208,0.580,-6.646
0.030,2,0.966,0.992,0.037,0.0000
0.030,3,-2.628,0.918,0.094,0.0000
0.030,4,3.189,0.324,0.435,0.0000
0.035,1,-3.283,0.887,0.102,-5.497
0.035,2,2.571,0.381,0.343,0.0000
0.035,3,1.719,0.851,0.223,0.0000
0.035,4,4.088,1.248,0.433,0.0000
0.039,1,-2.402,0.884,0.052,-5.321
0.039,2,2.247,0.373,0.308,0.0000
0.039,3,0.604,0.688,0.092,0.0000
0.039,4,4.053,1.192,0.468,0.0000
